fragId,SMILES,SMILES Naked,HBD,HBA,cLogP,Heteroatoms,Rings,Rot. Bonds,Aromatic Bonds,Acidic Groups,Basic Groups,Atomic Polarizability
C326,C#CCCC1(CCNC(=O)c2c(-c3cn(C)nn3)noc2C(F)F)N=N1,CNC(=O)c1c(-c2cn(C)nn2)noc1C(F)F,1,6,0.7672999999999999,9,2,3,10,0,0,30.059137000000003
C327,C#CCCC1(CCNC(=O)C(C)N2C(=O)C3CC=CCC3C2=O)N=N1,CNC(=O)c1cc2c(o1)C(C)(C)CCNC2=O,2,3,1.0502999999999998,5,2,1,5,0,0,36.394688
C328,C#CCCC1(CCNC(=O)c2cc(C)nc3onc(-c4c(C)nn(C)c4C)c23)N=N1,CNC(=O)c1cc(C)nc2onc(-c3c(C)nn(C)c3C)c12,1,6,1.9081599999999999,7,3,2,15,0,0,44.839481000000006
C329,C#CCCC1(CCC(=O)N2CCCC(c3[nH]ncc3CN3CCOCC3)C2)N=N1,CC(=O)N1CCCC(c2[nH]ncc2CN2CCOCC2)C1,1,4,0.9678000000000002,6,3,3,5,0,1,48.407032000000015
C331,C#CCCC1(CCC(=O)N2CCN(C3(C(N)=O)CCOC3)CC2)N=N1,COCCN1C(=O)N[C@H]2CN(C(C)=O)CC[C@H]21,1,3,-0.3525999999999989,6,2,3,0,0,0,37.735067
C332,C#CCCC1(CCC(=O)N[C@H]2CCCC[C@H]2Cc2nn(C)c(=O)n2C)N=N1,CC(=O)N[C@@H]1CCCC[C@@H]1Cc1nn(C)c(=O)n1C,1,5,0.35620000000000074,6,2,3,5,0,0,43.553446
C333,C#CCCC1(CCC(=O)NC(C)c2ccc(N3CC(C)CS3(=O)=O)cc2)N=N1,CC(=O)N(C)C(C)c1cccc(N2CCCS2(=O)=O)c1,0,3,1.7658,6,2,3,6,0,0,45.48186000000001
C334,C#CCCC1(CCC(=O)NC2CC(N(C)C)C23CCC3)N=N1,C=CCCN1CCC(NC(C)=O)CC1,1,2,1.1629999999999996,3,1,4,0,0,1,35.697860000000006
C335,C#CCCC1(CCNC(=O)c2cc(S(=O)(=O)CC)c[nH]c2=O)N=N1,CCS(=O)(=O)c1c[nH]c(=O)c(C(=O)NC)c1,2,4,-0.4719,7,1,3,6,0,0,32.149516000000006
C336,C#CCCC1(CCC(=O)N2CCCC(O)(CN(C)C)C2)N=N1,CC(=O)N1CCCC(O)(CN(C)C)C1,1,3,-0.07859999999999978,4,1,2,0,0,1,34.73986000000001
C337,C#CCCC1(CCC(=O)N2CCC(C#N)(CCC=C)CC2)N=N1,C=CCCC1(C#N)CCN(C(C)=O)CC1,0,2,2.10488,3,1,3,0,0,0,36.12427400000001
C338,C#CCCC1(CCNC(=O)c2cccc(-c3cnc4[nH]c(=O)n(C)c4c3)c2)N=N1,CNC(=O)c1cccc(-c2cnc3[nH]c(=O)n(C)c3c2)c1,2,4,1.2881999999999998,6,3,2,16,0,0,41.739102
C339,C#CCCC1(CCNC(=O)c2cc(-c3cc(F)ccc3F)on2)N=N1,CNC(=O)c1cc(-c2cc(F)ccc2F)on1,1,3,1.9794,6,2,2,11,0,0,29.612344
C340,C#CCCC1(CCC(=O)N2CCN(C(C)c3nc(C(C)C)no3)CC2)N=N1,CC(=O)N1CCN(C(C)c2nc(C(C)C)no2)CC1,0,5,1.4181,6,2,3,5,0,1,43.55344600000001
C342,C#CCCC1(CCC(=O)N2CCC(S(=O)(=O)c3ccc(F)cc3)C2)N=N1,CC(=O)N1CCC(S(=O)(=O)c2ccc(F)cc2)C1,0,3,1.2202000000000004,6,2,2,6,0,0,37.418102000000005
C343,C#CCCC1(CCC(=O)N2CCOC3(C2)C2CC4CC(C2)CC3C4)N=N1,CC(=O)N1CCOC2(C1)C1CC3CC(C1)CC2C3,0,2,2.0599999999999996,3,5,0,0,0,0,44.440239000000005
C344,C#CCCC1(CCC(=O)N2CCCCCCNC(=O)C3CCCC32)N=N1,CC(=O)N1CCCCCCNC(=O)C2CCCC21,1,2,1.6937999999999995,4,2,0,0,0,0,44.44703200000001
C345,C#CCCC1(CCC(=O)N2CC(c3nc(O)cc(O)n3)C2)N=N1,CC(=O)N1CC(c2nc(O)cc(=O)[nH]2)C1,2,4,-0.5788000000000002,6,2,1,6,0,0,28.880723000000003
C346,C#CCCC1(CCNC(=O)c2cccn3c(CC(C)C)nnc23)N=N1,CNC(=O)c1cccn2c(CC(C)C)nnc12,1,4,1.2873999999999999,5,2,3,10,0,0,36.990688
C347,C#CCCC1(CCNC(=O)Cc2sc(-c3ccn[nH]3)nc2C)N=N1,CNC(=O)Cc1sc(-c2ccn[nH]2)nc1C,2,4,1.1301199999999996,6,2,3,10,0,0,33.70351600000001
